"Value","lWind","hWind","Waves","Description"
0,0,1,0,"Calm—Sea smooth and mirror like. From the air, the surface looks like a mirror, and glare from the sun is reduced to a very small area, maybe even only a reflection of the sun’s disk."
1,1,3,0.25,"Light air—Scale-like ripples without waves or whitecaps. The surface looks scaly; sun glare extends less than half-way to the horizon."
2,4,6,0.5,"Light breeze—Small, short wavelets; crests have a glassy appearance; occasional white-caps. From the air, white-caps look like points, with never more than one–three in view at once."
3,7,10,2,"Gentle breeze—Large wavelets; some crests begin to break; foam of glassy appearance; scattered whitecaps. From the air, white-caps still appear small and point-like. There may be many in view at one time, but they generally can be seen only within a half-mile to a mile. They tend to disappear quickly and do not persist."
4,11,16,4,"Moderate breeze—Small waves, becoming longer; fairly frequent white-caps. From the air, the whitecaps become elongate rather than point-like and persist as the wave moves away. White-caps are now visible beyond one or two miles away."
5,17,21,6,"Fresh breeze—Moderate waves, taking a more pronounced long form; many and longer white-caps; there may be some spray. From the air, white-caps begin to look more like breakers, with foam patches persisting long after the wave breaks. White-caps are visible nearly to the horizon."
6,22,27,10,"Strong breeze—Large waves begin to form; whitecaps are more extensive everywhere; spray is more frequent and pronounced. Huge rolling breakers can be seen from the air, with persistent foam patches behind the waves now forming longer lines parallel to the wind."
7,28,33,14,"Near gale—Sea heaps up and white foam from breaking waves begins to be blown in streaks along the direction of the wind ahead of the waves (spindrift)."
8,34,40,18,"Gale—Moderately high waves of greater length; edges of crests breaking into spindrift; foam is blown in well-marked streaks along the direction of the wind."
9,41,47,23,"Strong gale—High waves; dense streaks of foam along the direction of the wind; crests of waves begin to topple, tumble, and roll over; spray may reduce visibility."
10,48,55,29,"Storm—Very high waves with long overhanging crests; resulting foam in great patches is blown in dense white streaks along the direction of the wind; entire surface of the sea is white in appearance; tumbling of the sea becomes heavy and shocklike; visibility is reduced."
11,56,63,37,"Violent storm—Exceptionally high waves may obscure small and medium-sized ships; sea is completely covered with long white patches of foam lying along the direction of the wind; everywhere the edges of wave crests are blown into froth; visibility is reduced."
12,64,118,45,"Hurricane—The air is filled with foam and spray; sea completely white with driving spray; visibility very much reduced."
